CustomerID,AccountBalance,LastLogin,Name,Age,Address,TransactionID,Amount,SuspiciousFlag
1001,9507.27205955636,2022-01-01,Customer 1001,54,Address 1001,787.0,33.670626213973335,0
1002,7408.704535557173,2022-01-02,Customer 1002,35,Address 1002,,,0
1003,1715.321988918382,2022-01-03,Customer 1003,40,Address 1003,641.0,30.9802390482118,0
1004,3101.509133840253,2022-01-04,Customer 1004,30,Address 1004,450.0,11.167088142720043,0
1004,3101.509133840253,2022-01-04,Customer 1004,30,Address 1004,921.0,45.84978420861537,0
1005,5405.766913696731,2022-01-05,Customer 1005,46,Address 1005,599.0,81.80865066013159,0
1006,9347.967162033714,2022-01-06,Customer 1006,59,Address 1006,,,0
1007,2957.760054296896,2022-01-07,Customer 1007,33,Address 1007,77.0,41.21158341874049,0
1008,8303.773585052018,2022-01-08,Customer 1008,21,Address 1008,468.0,91.1696888971712,0
1009,5359.747810190935,2022-01-09,Customer 1009,32,Address 1009,294.0,35.15145130726461,0
1009,5359.747810190935,2022-01-09,Customer 1009,32,Address 1009,914.0,96.52314248884213,0
1010,9506.882688627556,2022-01-10,Customer 1010,26,Address 1010,,,0
1011,1895.7059030143776,2022-01-11,Customer 1011,57,Address 1011,,,0
1012,2706.148887561668,2022-01-12,Customer 1012,45,Address 1012,102.0,61.65899469709107,0
1012,2706.148887561668,2022-01-12,Customer 1012,45,Address 1012,716.0,81.243458802052,0
1013,8646.50724993274,2022-01-13,Customer 1013,21,Address 1013,,,0
1014,9922.29197304782,2022-01-14,Customer 1014,27,Address 1014,945.0,42.60535294784076,0
1015,3146.248188317656,2022-01-15,Customer 1015,59,Address 1015,,,0
1016,8612.857297188031,2022-01-16,Customer 1016,22,Address 1016,545.0,68.36571539188091,0
1017,5179.000965050205,2022-01-17,Customer 1017,21,Address 1017,142.0,74.95521382139967,0
1017,5179.000965050205,2022-01-17,Customer 1017,21,Address 1017,265.0,41.54205962794481,0
1017,5179.000965050205,2022-01-17,Customer 1017,21,Address 1017,792.0,72.01022436079609,0
1018,2727.830524924492,2022-01-18,Customer 1018,28,Address 1018,443.0,48.00091682800642,0
1019,3797.734535980661,2022-01-19,Customer 1019,37,Address 1019,141.0,61.41387641863861,0
1019,3797.734535980661,2022-01-19,Customer 1019,37,Address 1019,567.0,39.17632975406391,0
1020,3552.855147081368,2022-01-20,Customer 1020,55,Address 1020,979.0,52.33810790461614,0
1021,8552.672866957477,2022-01-21,Customer 1021,48,Address 1021,,,0
1022,4265.273573478986,2022-01-22,Customer 1022,55,Address 1022,197.0,41.600666147750765,0
1023,9545.47486907634,2022-01-23,Customer 1023,34,Address 1023,101.0,58.92390637798005,0
1023,9545.47486907634,2022-01-23,Customer 1023,34,Address 1023,220.0,95.66715462171436,0
1024,1795.3282266181373,2022-01-24,Customer 1024,40,Address 1024,192.0,61.29285089639624,0
1024,1795.3282266181373,2022-01-24,Customer 1024,40,Address 1024,238.0,55.20400597044325,0
1024,1795.3282266181373,2022-01-24,Customer 1024,40,Address 1024,459.0,40.22710518557125,0
1024,1795.3282266181373,2022-01-24,Customer 1024,40,Address 1024,923.0,52.160534543489405,0
1025,4450.390070063062,2022-01-25,Customer 1025,18,Address 1025,504.0,93.49535668273188,0
1026,8091.736701622896,2022-01-26,Customer 1026,58,Address 1026,210.0,27.51230202452078,0
1026,8091.736701622896,2022-01-26,Customer 1026,58,Address 1026,427.0,57.04065911383756,0
1027,9527.947107479318,2022-01-27,Customer 1027,46,Address 1027,2.0,12.881180192784145,0
1028,2222.1414660761125,2022-01-28,Customer 1028,29,Address 1028,,,0
1029,8467.122622743587,2022-01-29,Customer 1029,37,Address 1029,525.0,28.32936501855892,0
1030,3767.55788843177,2022-01-30,Customer 1030,54,Address 1030,33.0,59.3509900357369,0
